Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Spring 2022,Maluay Malatapay MPA,14.8,1,,,,,,,11.6,1,,,,,,,22.5,1,,,,,,,75.1,1,,,,,,,485.3,1,,,,,,,609.3,1,,,,,,,111.2,1,,,,,,,16.13,1,,,,,,,9.99,1,,,,,,
Summer 2022,Maluay Malatapay MPA,7.87,1,,,,,,,12.0,1,,,,,,,19.53,1,,,,,,,98.6,1,,,,,,,395.0,1,,,,,,,533.0,1,,,,,,,29.69,1,,,,,,,8.38,1,,,,,,,3.54,1,,,,,,
Autumn 2022,Maluay Malatapay MPA,9.76,1,,,,,,,16.29,1,,,,,,,27.06,1,,,,,,,119.35,1,,,,,,,525.0,1,,,,,,,697.47,1,,,,,,,57.5,1,,,,,,,12.09,1,,,,,,,6.34,1,,,,,,
Winter 22/23,Maluay Malatapay MPA,7.17,1,,,,,,,14.17,1,,,,,,,14.42,1,,,,,,,107.42,1,,,,,,,350.42,1,,,,,,,493.58,1,,,,,,,94.67,1,,,,,,,8.45,1,,,,,,,3.63,1,,,,,,
Spring 2023,Maluay Malatapay MPA,8.18,1,,,,,,,12.35,1,,,,,,,14.35,1,,,,,,,49.47,1,,,,,,,348.18,1,,,,,,,432.53,1,,,,,,,440.33,1,,,,,,,8.62,1,,,,,,,3.02,1,,,,,,
Summer 2023,Maluay Malatapay MPA,10.53,1,,,,,,,10.71,1,,,,,,,14.47,1,,,,,,,49.41,1,,,,,,,437.18,1,,,,,,,522.29,1,,,,,,,319.09,1,,,,,,,9.57,1,,,,,,,3.38,1,,,,,,
Autumn 2023,Maluay Malatapay MPA,8.07,1,,,,,,,17.21,1,,,,,,,11.71,1,,,,,,,83.5,1,,,,,,,296.21,1,,,,,,,416.71,1,,,,,,,373.25,1,,,,,,,6.42,1,,,,,,,3.17,1,,,,,,
Winter 23/24,Maluay Malatapay MPA,14.23,1,,,,,,,22.62,1,,,,,,,19.08,1,,,,,,,189.69,1,,,,,,,415.15,1,,,,,,,660.77,1,,,,,,,127.6,1,,,,,,,14.58,1,,,,,,,8.31,1,,,,,,
Spring 2024,Maluay Malatapay MPA,9.92,1,,,,,,,14.67,1,,,,,,,12.67,1,,,,,,,86.08,1,,,,,,,417.08,1,,,,,,,540.42,1,,,,,,,136.5,1,,,,,,,15.65,1,,,,,,,7.33,1,,,,,,
Summer 2024,Maluay Malatapay MPA,10.25,1,,,,,,,14.62,1,,,,,,,16.88,1,,,,,,,140.38,1,,,,,,,382.75,1,,,,,,,564.88,1,,,,,,,59.75,1,,,,,,,11.0,1,,,,,,,5.69,1,,,,,,
Autumn 2024,Maluay Malatapay MPA,7.71,1,,,,,,,12.14,1,,,,,,,14.07,1,,,,,,,78.5,1,,,,,,,362.21,1,,,,,,,474.64,1,,,,,,,75.25,1,,,,,,,12.0,1,,,,,,,6.58,1,,,,,,
Winter 24/25,Maluay Malatapay MPA,7.22,1,,,,,,,15.22,1,,,,,,,11.94,1,,,,,,,82.06,1,,,,,,,407.56,1,,,,,,,524.0,1,,,,,,,137.2,1,,,,,,,20.89,1,,,,,,,15.12,1,,,,,,
Spring 2025,Maluay Malatapay MPA,7.06,1,,,,,,,10.94,1,,,,,,,13.94,1,,,,,,,103.94,1,,,,,,,294.5,1,,,,,,,430.39,1,,,,,,,83.46,1,,,,,,,13.69,1,,,,,,,9.63,1,,,,,,
Summer 2025,Maluay Malatapay MPA,10.09,1,,,,,,,14.59,1,,,,,,,17.27,1,,,,,,,160.27,1,,,,,,,694.36,1,,,,,,,896.59,1,,,,,,,267.79,1,,,,,,,39.51,1,,,,,,,34.48,1,,,,,,
Autumn 2025,Maluay Malatapay MPA,9.11,1,,,,,,,9.83,1,,,,,,,17.17,1,,,,,,,108.61,1,,,,,,,519.44,1,,,,,,,664.17,1,,,,,,,80.75,1,,,,,,,32.94,1,,,,,,,27.9,1,,,,,,
