Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Spring 2022,Andulay MPA,13.83,1,,,,,,,10.17,1,,,,,,,15.5,1,,,,,,,43.5,1,,,,,,,1236.33,1,,,,,,,1319.33,1,,,,,,,30.41,1,,,,,,,18.83,1,,,,,,,8.86,1,,,,,,
Summer 2022,Andulay MPA,17.73,1,,,,,,,11.73,1,,,,,,,19.87,1,,,,,,,138.67,1,,,,,,,735.47,1,,,,,,,923.47,1,,,,,,,90.62,1,,,,,,,12.89,1,,,,,,,6.41,1,,,,,,
Autumn 2022,Andulay MPA,26.45,1,,,,,,,22.36,1,,,,,,,42.0,1,,,,,,,210.36,1,,,,,,,1475.82,1,,,,,,,1777.0,1,,,,,,,50.22,1,,,,,,,44.72,1,,,,,,,22.37,1,,,,,,
Winter 22/23,Andulay MPA,13.62,1,,,,,,,15.08,1,,,,,,,20.69,1,,,,,,,107.08,1,,,,,,,832.08,1,,,,,,,988.54,1,,,,,,,170.71,1,,,,,,,13.56,1,,,,,,,4.17,1,,,,,,
Spring 2023,Andulay MPA,14.94,1,,,,,,,13.44,1,,,,,,,17.06,1,,,,,,,52.69,1,,,,,,,536.12,1,,,,,,,634.25,1,,,,,,,93.75,1,,,,,,,17.27,1,,,,,,,7.46,1,,,,,,
Summer 2023,Andulay MPA,18.18,1,,,,,,,18.27,1,,,,,,,22.09,1,,,,,,,144.73,1,,,,,,,839.64,1,,,,,,,1042.91,1,,,,,,,49.0,1,,,,,,,16.01,1,,,,,,,6.23,1,,,,,,
Autumn 2023,Andulay MPA,19.5,1,,,,,,,21.5,1,,,,,,,23.17,1,,,,,,,175.5,1,,,,,,,815.33,1,,,,,,,1055.0,1,,,,,,,221.78,1,,,,,,,17.89,1,,,,,,,8.13,1,,,,,,
Winter 23/24,Andulay MPA,19.53,1,,,,,,,18.76,1,,,,,,,12.76,1,,,,,,,122.0,1,,,,,,,626.59,1,,,,,,,799.65,1,,,,,,,180.22,1,,,,,,,11.95,1,,,,,,,3.96,1,,,,,,
Spring 2024,Andulay MPA,13.3,1,,,,,,,16.6,1,,,,,,,16.7,1,,,,,,,200.5,1,,,,,,,757.9,1,,,,,,,1005.0,1,,,,,,,63.26,1,,,,,,,27.03,1,,,,,,,14.84,1,,,,,,
Summer 2024,Andulay MPA,16.4,1,,,,,,,17.9,1,,,,,,,19.3,1,,,,,,,133.2,1,,,,,,,926.7,1,,,,,,,1113.5,1,,,,,,,45.0,1,,,,,,,11.21,1,,,,,,,3.68,1,,,,,,
Autumn 2024,Andulay MPA,11.46,1,,,,,,,12.23,1,,,,,,,12.69,1,,,,,,,99.62,1,,,,,,,710.46,1,,,,,,,846.46,1,,,,,,,596.67,1,,,,,,,14.81,1,,,,,,,6.22,1,,,,,,
Winter 24/25,Andulay MPA,11.28,1,,,,,,,9.83,1,,,,,,,16.39,1,,,,,,,86.89,1,,,,,,,583.39,1,,,,,,,707.78,1,,,,,,,157.57,1,,,,,,,17.27,1,,,,,,,6.85,1,,,,,,
Spring 2025,Andulay MPA,10.79,1,,,,,,,9.16,1,,,,,,,12.63,1,,,,,,,87.79,1,,,,,,,588.63,1,,,,,,,709.0,1,,,,,,,136.2,1,,,,,,,12.53,1,,,,,,,6.25,1,,,,,,
Summer 2025,Andulay MPA,10.63,1,,,,,,,13.47,1,,,,,,,16.47,1,,,,,,,135.37,1,,,,,,,686.11,1,,,,,,,862.05,1,,,,,,,59.5,1,,,,,,,12.29,1,,,,,,,6.35,1,,,,,,
Autumn 2025,Andulay MPA,10.56,1,,,,,,,12.72,1,,,,,,,16.67,1,,,,,,,119.22,1,,,,,,,794.94,1,,,,,,,954.11,1,,,,,,,59.37,1,,,,,,,12.03,1,,,,,,,6.33,1,,,,,,
