Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Summer 2022,Lutoban Pier,17.19,1,,,,,,,7.88,1,,,,,,,12.38,1,,,,,,,132.88,1,,,,,,,801.94,1,,,,,,,972.25,1,,,,,,,42.81,1,,,,,,,28.89,1,,,,,,,12.25,1,,,,,,
Autumn 2022,Lutoban Pier,24.62,1,,,,,,,14.5,1,,,,,,,18.0,1,,,,,,,127.5,1,,,,,,,1458.88,1,,,,,,,1643.5,1,,,,,,,48.5,1,,,,,,,30.46,1,,,,,,,19.48,1,,,,,,
Winter 22/23,Lutoban Pier,16.9,1,,,,,,,6.8,1,,,,,,,14.5,1,,,,,,,102.7,1,,,,,,,642.1,1,,,,,,,783.0,1,,,,,,,16.0,1,,,,,,,10.69,1,,,,,,,1.02,1,,,,,,
Spring 2023,Lutoban Pier,12.82,1,,,,,,,4.24,1,,,,,,,7.53,1,,,,,,,55.82,1,,,,,,,450.35,1,,,,,,,530.76,1,,,,,,,217.5,1,,,,,,,11.04,1,,,,,,,1.16,1,,,,,,
Summer 2023,Lutoban Pier,21.36,1,,,,,,,12.45,1,,,,,,,15.73,1,,,,,,,131.45,1,,,,,,,932.36,1,,,,,,,1113.36,1,,,,,,,318.5,1,,,,,,,21.04,1,,,,,,,9.19,1,,,,,,
Autumn 2023,Lutoban Pier,14.88,1,,,,,,,14.12,1,,,,,,,11.75,1,,,,,,,116.75,1,,,,,,,954.38,1,,,,,,,1111.88,1,,,,,,,40.53,1,,,,,,,36.02,1,,,,,,,27.59,1,,,,,,
Winter 23/24,Lutoban Pier,15.1,1,,,,,,,15.9,1,,,,,,,14.8,1,,,,,,,140.0,1,,,,,,,742.3,1,,,,,,,928.1,1,,,,,,,74.75,1,,,,,,,27.31,1,,,,,,,15.07,1,,,,,,
Spring 2024,Lutoban Pier,14.82,1,,,,,,,9.0,1,,,,,,,8.64,1,,,,,,,107.82,1,,,,,,,627.36,1,,,,,,,767.64,1,,,,,,,301.57,1,,,,,,,24.53,1,,,,,,,10.98,1,,,,,,
Summer 2024,Lutoban Pier,14.67,1,,,,,,,17.22,1,,,,,,,11.78,1,,,,,,,214.0,1,,,,,,,666.78,1,,,,,,,924.44,1,,,,,,,112.0,1,,,,,,,16.13,1,,,,,,,9.6,1,,,,,,
Autumn 2024,Lutoban Pier,10.33,1,,,,,,,16.78,1,,,,,,,15.0,1,,,,,,,82.0,1,,,,,,,747.33,1,,,,,,,871.44,1,,,,,,,651.5,1,,,,,,,19.77,1,,,,,,,10.99,1,,,,,,
Winter 24/25,Lutoban Pier,8.53,1,,,,,,,6.89,1,,,,,,,7.37,1,,,,,,,76.0,1,,,,,,,410.53,1,,,,,,,509.32,1,,,,,,,106.0,1,,,,,,,12.54,1,,,,,,,5.09,1,,,,,,
Spring 2025,Lutoban Pier,10.42,1,,,,,,,8.21,1,,,,,,,10.53,1,,,,,,,104.32,1,,,,,,,462.63,1,,,,,,,596.11,1,,,,,,,53.09,1,,,,,,,11.12,1,,,,,,,5.23,1,,,,,,
Summer 2025,Lutoban Pier,14.09,1,,,,,,,9.48,1,,,,,,,14.52,1,,,,,,,114.43,1,,,,,,,650.87,1,,,,,,,803.39,1,,,,,,,196.62,1,,,,,,,13.91,1,,,,,,,7.35,1,,,,,,
Autumn 2025,Lutoban Pier,8.0,1,,,,,,,7.78,1,,,,,,,15.11,1,,,,,,,94.39,1,,,,,,,719.67,1,,,,,,,844.94,1,,,,,,,46.28,1,,,,,,,11.78,1,,,,,,,6.45,1,,,,,,
