Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Spring 2022,Basak Can-Unsang MPA,21.25,1,,,,,,,11.25,1,,,,,,,13.42,1,,,,,,,85.0,1,,,,,,,734.92,1,,,,,,,865.83,1,,,,,,,44.33,1,,,,,,,41.85,1,,,,,,,26.5,1,,,,,,
Summer 2022,Basak Can-Unsang MPA,45.5,1,,,,,,,22.12,1,,,,,,,19.88,1,,,,,,,130.0,1,,,,,,,956.38,1,,,,,,,1173.88,1,,,,,,,162.8,1,,,,,,,35.57,1,,,,,,,22.65,1,,,,,,
Autumn 2022,Basak Can-Unsang MPA,37.86,1,,,,,,,34.57,1,,,,,,,24.43,1,,,,,,,219.0,1,,,,,,,2349.57,1,,,,,,,2665.43,1,,,,,,,53.35,1,,,,,,,85.25,1,,,,,,,64.04,1,,,,,,
Winter 22/23,Basak Can-Unsang MPA,17.0,1,,,,,,,12.36,1,,,,,,,12.45,1,,,,,,,77.09,1,,,,,,,641.27,1,,,,,,,760.18,1,,,,,,,113.23,1,,,,,,,33.26,1,,,,,,,16.22,1,,,,,,
Spring 2023,Basak Can-Unsang MPA,23.4,1,,,,,,,19.87,1,,,,,,,13.13,1,,,,,,,76.47,1,,,,,,,513.87,1,,,,,,,646.73,1,,,,,,,978.0,1,,,,,,,19.39,1,,,,,,,7.98,1,,,,,,
Summer 2023,Basak Can-Unsang MPA,16.28,1,,,,,,,14.83,1,,,,,,,18.39,1,,,,,,,82.28,1,,,,,,,762.94,1,,,,,,,894.72,1,,,,,,,141.08,1,,,,,,,29.2,1,,,,,,,17.03,1,,,,,,
Autumn 2023,Basak Can-Unsang MPA,23.88,1,,,,,,,23.88,1,,,,,,,12.25,1,,,,,,,106.88,1,,,,,,,521.38,1,,,,,,,688.25,1,,,,,,,40.0,1,,,,,,,19.83,1,,,,,,,12.46,1,,,,,,
Winter 23/24,Basak Can-Unsang MPA,26.14,1,,,,,,,27.5,1,,,,,,,11.5,1,,,,,,,138.71,1,,,,,,,631.07,1,,,,,,,834.93,1,,,,,,,88.45,1,,,,,,,29.81,1,,,,,,,20.99,1,,,,,,
Spring 2024,Basak Can-Unsang MPA,24.5,1,,,,,,,34.75,1,,,,,,,11.08,1,,,,,,,117.25,1,,,,,,,688.33,1,,,,,,,875.92,1,,,,,,,68.87,1,,,,,,,40.73,1,,,,,,,25.6,1,,,,,,
Summer 2024,Basak Can-Unsang MPA,20.91,1,,,,,,,37.18,1,,,,,,,10.64,1,,,,,,,101.27,1,,,,,,,562.64,1,,,,,,,732.64,1,,,,,,,103.0,1,,,,,,,30.8,1,,,,,,,24.69,1,,,,,,
Autumn 2024,Basak Can-Unsang MPA,26.33,1,,,,,,,25.33,1,,,,,,,8.75,1,,,,,,,82.67,1,,,,,,,522.0,1,,,,,,,665.08,1,,,,,,,299.5,1,,,,,,,23.06,1,,,,,,,16.83,1,,,,,,
Winter 24/25,Basak Can-Unsang MPA,16.0,1,,,,,,,10.25,1,,,,,,,5.5,1,,,,,,,83.0,1,,,,,,,517.92,1,,,,,,,632.67,1,,,,,,,103.5,1,,,,,,,36.93,1,,,,,,,13.68,1,,,,,,
Spring 2025,Basak Can-Unsang MPA,12.08,1,,,,,,,11.17,1,,,,,,,9.0,1,,,,,,,119.75,1,,,,,,,515.92,1,,,,,,,667.92,1,,,,,,,143.5,1,,,,,,,36.05,1,,,,,,,27.97,1,,,,,,
Summer 2025,Basak Can-Unsang MPA,21.77,1,,,,,,,27.54,1,,,,,,,7.46,1,,,,,,,98.46,1,,,,,,,602.69,1,,,,,,,757.92,1,,,,,,,57.41,1,,,,,,,27.6,1,,,,,,,21.45,1,,,,,,
Autumn 2025,Basak Can-Unsang MPA,9.5,1,,,,,,,15.5,1,,,,,,,6.75,1,,,,,,,95.12,1,,,,,,,758.88,1,,,,,,,885.75,1,,,,,,,137.58,1,,,,,,,28.23,1,,,,,,,21.86,1,,,,,,
