Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Spring 2021,Guinsuan MPA,5.09,3,1.61,0.93,1.09,9.09,4.16,6.02,0.19,3,0.08,0.05,-0.01,0.38,0.14,0.23,4.12,3,0.63,0.36,2.56,5.68,3.76,4.48,2.78,3,0.24,0.14,2.18,3.38,2.64,2.92,0.74,3,0.29,0.17,0.02,1.46,0.57,0.91
Spring 2022,Guinsuan MPA,5.74,3,2.43,1.4,-0.29,11.77,4.34,7.14,0.06,3,0.05,0.03,-0.07,0.19,0.03,0.09,6.79,3,3.21,1.85,-1.18,14.76,4.94,8.64,1.94,3,0.76,0.44,0.06,3.83,1.51,2.38,0.71,3,0.33,0.19,-0.1,1.52,0.52,0.9
Summer 2022,Guinsuan MPA,2.83,7,2.37,0.9,0.64,5.03,1.94,3.73,0.06,7,0.09,0.03,-0.02,0.14,0.03,0.09,2.1,7,1.6,0.6,0.62,3.58,1.5,2.71,0.6,7,0.61,0.23,0.04,1.16,0.37,0.83,1.0,7,1.01,0.38,0.06,1.93,0.62,1.38
Autumn 2022,Guinsuan MPA,5.03,4,3.03,1.52,0.21,9.86,3.52,6.55,0.07,4,0.1,0.05,-0.09,0.23,0.02,0.12,2.17,4,0.81,0.41,0.88,3.46,1.76,2.58,1.27,4,1.54,0.77,-1.18,3.72,0.5,2.04,1.61,4,1.83,0.91,-1.29,4.52,0.7,2.53
Winter 22/23,Guinsuan MPA,1.96,6,1.18,0.48,0.72,3.19,1.48,2.44,0.06,6,0.08,0.03,-0.03,0.14,0.02,0.09,3.15,6,3.46,1.41,-0.49,6.78,1.73,4.56,1.38,6,1.04,0.43,0.28,2.47,0.95,1.8,0.76,6,0.9,0.37,-0.18,1.7,0.4,1.13
Spring 2023,Guinsuan MPA,2.0,9,0.63,0.21,1.52,2.49,1.79,2.21,0.03,9,0.04,0.01,-0.0,0.05,0.02,0.04,1.85,9,0.75,0.25,1.27,2.42,1.6,2.1,0.5,9,0.41,0.14,0.18,0.82,0.36,0.64,0.54,9,0.31,0.1,0.3,0.78,0.44,0.64
Summer 2023,Guinsuan MPA,2.96,7,0.93,0.35,2.1,3.82,2.61,3.31,0.16,7,0.25,0.09,-0.07,0.39,0.06,0.25,2.6,7,2.61,0.99,0.18,5.01,1.61,3.59,1.29,7,1.08,0.41,0.29,2.28,0.88,1.7,0.01,7,0.03,0.01,-0.01,0.03,-0.0,0.02
Autumn 2023,Guinsuan MPA,5.21,4,1.69,0.85,2.51,7.9,4.36,6.06,0.05,4,0.1,0.05,-0.11,0.22,0.0,0.1,3.78,4,1.8,0.9,0.91,6.64,2.88,4.68,2.03,4,1.34,0.67,-0.09,4.16,1.36,2.7,0.26,4,0.39,0.2,-0.37,0.89,0.06,0.46
Winter 23/24,Guinsuan MPA,10.36,2,1.18,0.83,-0.23,20.95,9.52,11.19,0.06,2,0.08,0.06,-0.7,0.82,0.0,0.12,5.95,2,2.53,1.79,-16.74,28.64,4.17,7.74,4.7,2,2.27,1.61,-15.72,25.12,3.1,6.31,0.06,2,0.08,0.06,-0.7,0.82,0.0,0.12
Spring 2024,Guinsuan MPA,3.02,5,2.09,0.94,0.42,5.62,2.08,3.95,0.07,5,0.12,0.05,-0.08,0.22,0.02,0.13,3.65,5,2.72,1.21,0.28,7.02,2.43,4.86,0.69,5,0.89,0.4,-0.42,1.79,0.29,1.08,0.44,5,0.57,0.25,-0.26,1.15,0.19,0.7
Summer 2024,Guinsuan MPA,3.61,3,1.55,0.89,-0.23,7.45,2.72,4.5,0.28,3,0.28,0.16,-0.41,0.97,0.12,0.44,5.56,3,1.21,0.7,2.55,8.56,4.86,6.25,3.61,3,0.73,0.42,1.79,5.44,3.19,4.04,0.46,3,0.42,0.24,-0.59,1.52,0.22,0.71
Autumn 2024,Guinsuan MPA,4.75,4,3.37,1.68,-0.61,10.11,3.07,6.43,0.04,4,0.08,0.04,-0.09,0.17,0.0,0.08,2.33,4,1.19,0.59,0.45,4.22,1.74,2.93,1.67,4,1.57,0.78,-0.83,4.16,0.88,2.45,0.12,4,0.16,0.08,-0.13,0.38,0.05,0.2
Winter 24/25,Guinsuan MPA,2.17,5,0.73,0.32,1.26,3.07,1.84,2.49,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,2.47,5,1.06,0.48,1.15,3.79,1.99,2.94,2.43,5,2.4,1.07,-0.55,5.42,1.36,3.51,0.07,5,0.15,0.07,-0.12,0.25,0.0,0.13
Spring 2025,Guinsuan MPA,1.89,6,0.9,0.37,0.95,2.83,1.52,2.26,0.15,6,0.34,0.14,-0.2,0.5,0.02,0.29,1.86,6,0.48,0.2,1.36,2.36,1.67,2.06,1.53,6,0.69,0.28,0.8,2.25,1.25,1.81,0.1,6,0.15,0.06,-0.06,0.26,0.03,0.16
Summer 2025,Guinsuan MPA,1.88,8,1.53,0.54,0.6,3.16,1.34,2.42,0.03,8,0.04,0.01,-0.01,0.06,0.01,0.04,2.28,8,1.43,0.51,1.08,3.48,1.77,2.79,1.15,8,0.97,0.34,0.34,1.95,0.8,1.49,0.18,8,0.27,0.1,-0.05,0.4,0.08,0.27
Autumn 2025,Guinsuan MPA,2.9,5,0.65,0.29,2.09,3.7,2.61,3.19,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,3.99,5,0.87,0.39,2.91,5.07,3.6,4.38,1.4,5,0.57,0.26,0.69,2.11,1.14,1.65,0.03,5,0.04,0.02,-0.02,0.07,0.01,0.04
