Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Spring 2023,Lutoban North MPA,2.26,12,1.23,0.36,1.47,3.04,1.9,2.61,0.79,12,0.54,0.16,0.45,1.14,0.63,0.95,1.59,12,1.11,0.32,0.89,2.29,1.27,1.91,1.0,12,0.62,0.18,0.61,1.39,0.82,1.18,0.53,12,0.5,0.14,0.22,0.85,0.39,0.68
Summer 2023,Lutoban North MPA,2.33,10,1.91,0.6,0.97,3.7,1.73,2.94,1.1,10,0.99,0.31,0.39,1.81,0.79,1.41,1.69,10,0.69,0.22,1.2,2.19,1.47,1.91,1.24,10,1.03,0.33,0.5,1.97,0.91,1.56,0.11,10,0.14,0.05,0.01,0.21,0.07,0.16
Autumn 2023,Lutoban North MPA,3.23,6,2.51,1.03,0.59,5.86,2.2,4.25,1.45,6,0.72,0.29,0.7,2.21,1.16,1.75,3.85,6,1.75,0.72,2.01,5.69,3.13,4.56,2.84,6,2.19,0.9,0.54,5.14,1.95,3.74,0.13,6,0.19,0.08,-0.07,0.32,0.05,0.2
Winter 23/24,Lutoban North MPA,2.52,7,1.22,0.46,1.4,3.65,2.06,2.98,1.49,7,0.73,0.28,0.82,2.17,1.22,1.77,2.6,7,0.63,0.24,2.01,3.18,2.36,2.83,2.69,7,2.37,0.89,0.5,4.88,1.8,3.59,0.17,7,0.17,0.06,0.02,0.33,0.11,0.24
Spring 2024,Lutoban North MPA,2.05,11,1.7,0.51,0.91,3.19,1.54,2.56,0.79,11,0.58,0.17,0.4,1.18,0.62,0.96,1.59,11,1.03,0.31,0.9,2.29,1.28,1.9,1.12,11,0.86,0.26,0.54,1.69,0.86,1.37,0.2,11,0.25,0.08,0.03,0.37,0.13,0.28
Summer 2024,Lutoban North MPA,2.64,9,1.24,0.41,1.68,3.59,2.22,3.05,1.15,9,0.68,0.23,0.63,1.67,0.92,1.37,2.18,9,1.18,0.39,1.27,3.09,1.79,2.57,1.04,9,0.55,0.18,0.61,1.46,0.85,1.22,0.27,9,0.25,0.08,0.08,0.46,0.19,0.36
Autumn 2024,Lutoban North MPA,4.39,5,2.43,1.09,1.38,7.41,3.31,5.48,1.27,5,1.11,0.5,-0.11,2.65,0.78,1.77,2.38,5,1.38,0.62,0.66,4.09,1.76,3.0,3.8,5,2.49,1.11,0.71,6.9,2.69,4.92,0.41,5,0.33,0.15,-0.0,0.82,0.26,0.56
Winter 24/25,Lutoban North MPA,2.26,9,1.34,0.45,1.23,3.29,1.81,2.71,0.9,9,0.78,0.26,0.29,1.5,0.63,1.16,1.98,9,0.92,0.31,1.27,2.68,1.67,2.28,1.7,9,1.44,0.48,0.6,2.81,1.22,2.18,0.16,9,0.22,0.07,-0.01,0.33,0.09,0.23
Spring 2025,Lutoban North MPA,1.96,10,0.79,0.25,1.39,2.53,1.71,2.21,0.88,10,0.65,0.21,0.42,1.35,0.68,1.09,1.46,10,0.65,0.2,1.0,1.92,1.25,1.66,1.51,10,0.69,0.22,1.01,2.0,1.29,1.73,0.08,10,0.09,0.03,0.02,0.15,0.05,0.11
Summer 2025,Lutoban North MPA,1.89,11,0.93,0.28,1.26,2.52,1.61,2.17,0.71,11,0.69,0.21,0.25,1.17,0.5,0.92,1.18,11,0.75,0.23,0.67,1.68,0.95,1.4,1.63,11,0.87,0.26,1.04,2.21,1.37,1.89,0.22,11,0.26,0.08,0.04,0.39,0.14,0.3
Autumn 2025,Lutoban North MPA,3.01,7,1.19,0.45,1.9,4.11,2.56,3.46,0.89,7,0.46,0.17,0.47,1.31,0.72,1.07,3.23,7,1.32,0.5,2.02,4.45,2.74,3.73,0.9,7,1.43,0.54,-0.42,2.23,0.36,1.44,0.2,7,0.2,0.07,0.02,0.38,0.12,0.27
